"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0054020020","0068","2019-04-27T14:00:00.000","32.9","PR CHOCO: NOVITA","CHOCÓ","NÓVITA","SAN JUÁN","4.956","-76.606","Temp Aire 2 m","°C"
"0016055501","0068","2019-04-23T12:30:00.000","25.93292","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Temp Aire 2 m","°C"
"0024035430","0068","2007-06-29T08:00:00.000","16.6","TUNGUAVITA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.745916667","-73.11636111","Temp Aire 2 m","°C"
"0029045190","0068","2014-02-16T06:00:00.000","24.6","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Temp Aire 2 m","°C"
"0026065501","0068","2016-05-19T02:00:00.000","18.3","JAMUNDI  - AUT","VALLE DEL CAUCA","JAMUNDÍ","CAUCA","3.215580556","-76.68021944","Temp Aire 2 m","°C"
"0027015310","0068","2017-08-20T03:00:00.000","19","METROMEDELLIN - AUT","ANTIOQUIA","BELLO","NECHÍ","6.32975","-75.55211111","Temp Aire 2 m","°C"
"0021205524","0068","2019-04-22T04:40:00.000","9.369","VETA LARGA  - AUT","CUNDINAMARCA","ZIPAQUIRÁ","ALTO MAGDALENA","5.075","-74.057","Temp Aire 2 m","°C"
"0021202170","0068","2010-12-06T11:20:00.000","17.2","SIERRA MORENA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.167","Temp Aire 2 m","°C"
"0048015010","0068","2017-07-14T14:00:00.000","31.9","APTO VASQUEZ COBO TX GPRS/GOES","AMAZONAS","LETICIA","<nil>","-4.194","-69.941","Temp Aire 2 m","°C"
"2120700037","0068","2019-05-09T01:16:00.000","11.82","CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.556","-74.125","Temp Aire 2 m","°C"
"0026125504","0068","2017-05-26T23:25:00.000","19.7","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Temp Aire 2 m","°C"
"0023055502","0068","2016-07-14T17:10:00.000","21.5","VILLARAZ  - AUT","CALDAS","PENSILVANIA","MEDIO MAGDALENA","5.383333333","-75.06638889","Temp Aire 2 m","°C"
"2120000104","0068","2019-04-02T01:54:00.000","11.22","COLEGIO MIGUEL ANTONIO CARO - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.813","-74.031","Temp Aire 2 m","°C"
"0021015050","0068","2018-05-12T08:00:00.000","16.5","PURACE  - AUT","HUILA","SAN AGUSTÍN","ALTO MAGDALENA","1.925916667","-76.42755556","Temp Aire 2 m","°C"
"2120000106","0068","2018-12-29T01:56:00.000","6.797","GRAN BRETAÑA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.512","-74.164","Temp Aire 2 m","°C"
"0011175000","0068","2019-03-26T09:00:00.000","24.9","PR CHOCO: ATRATO","CHOCÓ","EL ATRATO","ATRATO - DARIÉN","5.529","-76.634","Temp Aire 2 m","°C"
"0026145501","0068","2019-02-12T05:50:00.000","16.94012","APIA  - AUT","RISARALDA","APÍA","CAUCA","5.105055556","-75.93305556","Temp Aire 2 m","°C"
"0026125508","0068","2018-11-13T15:55:00.000","21.48424","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Temp Aire 2 m","°C"
"0021165501","0068","2016-08-06T07:10:00.000","17.7","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Temp Aire 2 m","°C"
"0023065503","0068","2017-11-14T05:15:00.000","17.86577","EL MIRADOR  - AUT","CUNDINAMARCA","SASAIMA","MEDIO MAGDALENA","4.95","-74.4","Temp Aire 2 m","°C"
"0026157170","0068","2009-10-08T03:00:00.000","0.6","CONEJERAS2 - AUT","CALDAS","VILLAMARIA","CAUCA","4.820388889","-75.37713889","Temp Aire 2 m","°C"
"0021205523","0068","2019-07-18T21:40:00.000","12.929","UNIVERSIDAD SANTO TOMÁS  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.788","-74.05","Temp Aire 2 m","°C"
"0023105070","0068","2015-01-06T16:00:00.000","30.1","MACEO - AUT","ANTIOQUIA","YOLOMBÓ","MEDIO MAGDALENA","6.571638889","-74.79472222","Temp Aire 2 m","°C"
"0023125501","0068","2018-07-31T00:15:00.000","17.62755","PAUNA  - AUT","BOYACÁ","PAUNA","MEDIO MAGDALENA","5.657130556","-73.96032778","Temp Aire 2 m","°C"
"0021202230","0068","2014-01-14T12:45:00.000","18.8","UAN SEDE USME - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.467","-74.117","Temp Aire 2 m","°C"
"0021205507","0068","2019-06-23T10:00:00.000","20.8","CACHIPAY - CAR","CUNDINAMARCA","CACHIPAY","ALTO MAGDALENA","4.73","-74.431","Temp Aire 2 m","°C"
"0021202240","0068","2011-08-08T09:20:00.000","16.06","UAN SEDE CIRCUNVALAR - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.633","-74.05","Temp Aire 2 m","°C"
"0026155250","0068","2010-01-16T22:00:00.000","2.4","PARAMO CONEJERAS  - AUT","CALDAS","VILLAMARIA","CAUCA","4.829805556","-75.37583333","Temp Aire 2 m","°C"
"0026145508","0068","2018-08-13T04:05:00.000","17.26994","SAN JOSE  - AUT","CALDAS","SAN JOSE","CAUCA","5.094972222","-75.79174722","Temp Aire 2 m","°C"
"0021206810","0068","2013-02-02T20:50:00.000","16.9","SAN BENITO - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.55","-74.233","Temp Aire 2 m","°C"
"0021201980","0068","2011-05-08T23:05:00.000","11.5","CERRO GUADALUPE - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.05","Temp Aire 2 m","°C"
"0023085501","0068","2017-07-04T10:50:00.000","25.21326","COCORNA  - AUT","ANTIOQUIA","COCORNÁ","MEDIO MAGDALENA","6.061941667","-75.18666667","Temp Aire 2 m","°C"
"0026145507","0068","2019-01-13T02:20:00.000","18.27002","LAS TANGAS  - AUT","CALDAS","BELALCAZAR","CAUCA","5.038","-75.80599722","Temp Aire 2 m","°C"
"0015015120","0068","2016-07-02T00:00:00.000","28.8","UNIVERSIDAD TECNOLOGICA  - AUT","MAGDALENA","SANTA MARTA","CARIBE - GUAJIRA","11.22305556","-74.18591667","Temp Aire 2 m","°C"
"0016055501","0068","2018-01-15T04:30:00.000","17.15189","GABRIEL MARIA  - AUT","NORTE DE SANTANDER","CONVENCIÓN","CATATUMBO","8.412497222","-73.33944167","Temp Aire 2 m","°C"
"2120700038","0068","2019-04-12T13:13:00.000","19.48","SAN FRANCISCO - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.562","-74.149","Temp Aire 2 m","°C"
"0027015300","0068","2008-03-08T18:00:00.000","14.9","VILLANUEVA","ANTIOQUIA","MEDELLÍN","NECHÍ","6.253","-75.55","Temp Aire 2 m","°C"
"0021202230","0068","2014-03-01T06:15:00.000","13.3","UAN SEDE USME - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.467","-74.117","Temp Aire 2 m","°C"
"0023065505","0068","2018-07-15T10:00:00.000","26","CAPARRAPI - CAR","CUNDINAMARCA","CAPARRAPÍ","MEDIO MAGDALENA","5.34","-74.495","Temp Aire 2 m","°C"
"0052025090","0068","2015-02-28T14:00:00.000","22.8","LA SIERRA - AUT","CAUCA","LA SIERRA","PATÍA","2.193833333","-76.75033333","Temp Aire 2 m","°C"
"0026065501","0068","2018-11-22T08:30:00.000","22.02013","JAMUNDI  - AUT","VALLE DEL CAUCA","JAMUNDÍ","CAUCA","3.215580556","-76.68021944","Temp Aire 2 m","°C"
"0021215501","0068","2017-07-14T07:15:00.000","16.33835","ESPERANZA LA  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.45","-75.25","Temp Aire 2 m","°C"
"0028045501","0068","2018-11-06T23:35:00.000","18.61096","PUEBLO BELLO  - AUT","CESAR","PUEBLO BELLO","CESAR","10.42166667","-73.57471944","Temp Aire 2 m","°C"
"0023125501","0068","2019-01-23T03:00:00.000","18.67337","PAUNA  - AUT","BOYACÁ","PAUNA","MEDIO MAGDALENA","5.657130556","-73.96032778","Temp Aire 2 m","°C"
"2120700037","0068","2019-06-16T08:03:00.000","13.39","CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.556","-74.125","Temp Aire 2 m","°C"
"0054035501","0068","2019-07-21T16:25:00.000","23.22115","SANTIAGO GUTIERREZ  - AUT","VALLE DEL CAUCA","ARGELIA","SAN JUÁN","4.726388889","-76.11446944","Temp Aire 2 m","°C"
"0021035501","0068","2017-12-06T04:10:00.000","17.74682","ACEVEDO  - AUT","HUILA","ACEVEDO","ALTO MAGDALENA","1.763191667","-75.93224722","Temp Aire 2 m","°C"
"0027015280","0068","2008-01-30T13:00:00.000","12.6","PARAMO BELMIRA - AUT","ANTIOQUIA","ENTRERRIOS","NECHÍ","6.632027778","-75.64444444","Temp Aire 2 m","°C"
"0025015020","0068","2016-08-13T01:54:00.000","24.9","CERROMATOSO","CÓRDOBA","MONTELÍBANO","BAJO MAGDALENA- CAUCA -SAN JORGE","7.931","-75.554","Temp Aire 2 m","°C"
"0026115501","0068","2019-04-19T02:30:00.000","18.89379","MANUEL MARIA MALLARINO  - AUT","VALLE DEL CAUCA","TRUJILLO","CAUCA","4.213611111","-76.31497222","Temp Aire 2 m","°C"
"0044035040","0068","2013-09-11T13:00:00.000","27.8","FLORENCIA - AUT","CAQUETA","FLORENCIA","CAQUETÁ","1.733","-75.64502778","Temp Aire 2 m","°C"
"0021165502","0068","2018-01-04T13:35:00.000","22.9599","VILLARICA  - AUT","TOLIMA","VILLARRICA","ALTO MAGDALENA","3.955641667","-74.59178611","Temp Aire 2 m","°C"
"0021206810","0068","2016-01-08T11:20:00.000","21.6","SAN BENITO - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.55","-74.233","Temp Aire 2 m","°C"
"2120700037","0068","2019-08-04T21:53:00.000","12.82","CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.556","-74.125","Temp Aire 2 m","°C"
"0054015020","0068","2019-02-04T23:00:00.000","25.1","PR CHOCO: TADO","CHOCÓ","TADÓ","SAN JUÁN","5.27","-76.552","Temp Aire 2 m","°C"
"0013085030","0068","2017-06-28T22:00:00.000","28.4","SAN BERNARDO","CORDOBA","SAN BERNARDO DEL VIENTO","SINÚ","9.370777778","-75.94930556","Temp Aire 2 m","°C"
"0021165501","0068","2016-09-29T10:10:00.000","19.7","DOLORES  - AUT","TOLIMA","DOLORES","ALTO MAGDALENA","3.537155556","-74.82982778","Temp Aire 2 m","°C"
